bloque_master_num,bloque_master_label,db_region,db_zona,db_bloque,par,punto_a_negro,punto_b_rojo,tipo,patogeno,enfermedades,variante_visual,requiere_diagonal,zona_sensible,cobertura_anatomica,vista_anatomica,fuente_principal,fuente_secundaria,estado,numero_asignado,archivo_propuesto,archivo_existente
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Hipófisis,Pineal,Hipófisis,Especial/Disfunción,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,117,117_Pineal_Hipofisis.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Duodeno,Pineal,Duodeno,Especial/Disfunción,,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,118,118_Pineal_Duodeno.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Puente de Varolo,Pineal,Puente de Varolo,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,119,119_Pineal_Puente_de_Varolo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Post Pineal - Post Pineal,Post Pineal,Post Pineal,,scaret,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,120,120_Post_Pineal_Post_Pineal.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Post Pineal - Bulbo Raquídeo,Post Pineal,Bulbo Raquídeo,Especial/Disfunción,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,121,121_Post_Pineal_Bulbo_Raquideo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Empeine,Pineal,Empeine,,,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,122,122_Pineal_Empeine.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Mama,Pineal,Mama,,SARI TA,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,123,123_Pineal_Mama.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Planta del Pie,Pineal,Planta del Pie,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,124,124_Pineal_Planta_del_Pie.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Hígado,Pineal,Hígado,,,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,125,125_Pineal_Higado.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Prepineal - Prepineal,Prepineal,Prepineal,Hongo,Cryptococus Neoformans,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,126,126_Prepineal_Prepineal.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Prepolo - Bulbo Raquídeo,Prepolo,Bulbo Raquídeo,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,127,127_Prepolo_Bulbo_Raquideo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Prepolo - Antepolo,Prepolo,Antepolo,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,128,128_Prepolo_Antepolo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Cuarto Ventrículo - Bulbo Raquídeo,Cuarto Ventrículo,Bulbo Raquídeo,Especial/Disfunción,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,129,129_Cuarto_Ventriculo_Bulbo_Raquideo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Gen - Pineal,Gen,Pineal,Sin clasificar,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,130,130_Gen_Pineal.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Suprarrenal,Pineal,Suprarrenal,Virus,RNA,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,131,131_Pineal_Suprarrenal.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Pineal - Temporal IZQ,Pineal,Temporal IZQ,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,132,132_Pineal_Temporal_IZQ.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Plexo Cervical Derecho - Bulbo Raquídeo,Plexo Cervical Derecho,Bulbo Raquídeo,Bacteria,Serratia Fonticola,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,133,133_Plexo_Cervical_Derecho_Bulbo_Raquideo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Prepineal - Bulbo Raquídeo,Prepineal,Bulbo Raquídeo,Especial/Disfunción,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,134,134_Prepineal_Bulbo_Raquideo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Rodilla - Pineal,Rodilla,Pineal,Sin clasificar,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,135,135_Rodilla_Pineal.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Bulbo Raquídeo - Bulbo Raquídeo,Bulbo Raquídeo,Bulbo Raquídeo,Disfunción,,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,136,136_Bulbo_Raquideo_Bulbo_Raquideo.png,
1,CABEZA,Cabeza,Coronilla,Pineal,Mama - Mama,Mama,Mama,Disfunción,,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,137,137_Mama_Mama.png,
1,CABEZA,Cabeza,Coronilla,Corona,Prepineal - Vejiga,Prepineal,Vejiga,Hongo,Criptocococus,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,138,138_Prepineal_Vejiga.png,
1,CABEZA,Cabeza,Coronilla,Corona,Postpineal - Postpineal,Postpineal,Postpineal,Emocional/Psicoemocional,,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,139,139_Postpineal_Postpineal.png,
1,CABEZA,Cabeza,Coronilla,Corona,Núcleos Basales - Hipófisis,Núcleos Basales,Hipófisis,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,140,140_Nucleos_Basales_Hipofisis.png,
1,CABEZA,Cabeza,Coronilla,Corona,Núcleos Basales - Bulbo,Núcleos Basales,Bulbo,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,141,141_Nucleos_Basales_Bulbo.png,
1,CABEZA,Cabeza,Coronilla,Corona,Corona - Hipófisis,Corona,Hipófisis,Emocional/Psicoemocional,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,142,142_Corona_Hipofisis.png,
1,CABEZA,Cabeza,Coronilla,Corona,Corona Hipófisis - Depresión,Corona Hipófisis,Depresión,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,143,143_Corona_Hipofisis_Depresion.png,
1,CABEZA,Cabeza,Coronilla,Callosidad,Cuerpo Calloso - Cuerpo Calloso,Cuerpo Calloso,Cuerpo Calloso,Emocional/Psicoemocional,Espe cial,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,✅ TIENE FICHA APROBADA,31,031_Cuerpo_Calloso_Cuerpo_Calloso.png,031_Cuerpo_Calloso_Cuerpo_Calloso.png
1,CABEZA,Cabeza,Coronilla,Callosidad,Borde Calloso DER - Borde Calloso DER,Borde Calloso DER,Borde Calloso DER,,,,Bilateral real (derecho/izquierdo),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,144,144_Borde_Calloso_DER_Borde_Calloso_DER.png,
1,CABEZA,Cabeza,Coronilla,Callosidad,Borde Calloso IZQ - Borde Calloso IZQ,Borde Calloso IZQ,Borde Calloso IZQ,,,,Bilateral real (derecho/izquierdo),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,145,145_Borde_Calloso_IZQ_Borde_Calloso_IZQ.png,
1,CABEZA,Cabeza,Coronilla,Callosidad,Cisura Media - Cisura Media,Cisura Media,Cisura Media,Emocional/Psicoemocional,Rueda,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,146,146_Cisura_Media_Cisura_Media.png,
1,CABEZA,Cabeza,Coronilla,Callosidad,Capitis - Capitis,Capitis,Capitis,Hongo,Tiña delcuero cabelludo,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,147,147_Capitis_Capitis.png,
1,CABEZA,Cabeza,Coronilla,Callosidad,Cisura Lambda - Cisura Lambda,Cisura Lambda,Cisura Lambda,Reservorio,DE VIRUS GENERALES,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,148,148_Cisura_Lambda_Cisura_Lambda.png,
1,CABEZA,Cabeza,Coronilla,Callosidad,Cisura Silvio - Cisura Silvio,Cisura Silvio,Cisura Silvio,Emocional/Psicoemocional,Sor,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,149,149_Cisura_Silvio_Cisura_Silvio.png,
1,CABEZA,Cabeza,Coronilla,Callosidad,Cuerpo Calloso Derecho - Cerebelo,Cuerpo Calloso Derecho,Cerebelo,Sin clasificar,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,150,150_Cuerpo_Calloso_Derecho_Cerebelo.png,
1,CABEZA,Cabeza,Coronilla,Callosidad,Borde Calloso DER - Borde Calloso IZQ,Borde Calloso DER,Borde Calloso IZQ,,,,Bilateral real (derecho/izquierdo),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,151,151_Borde_Calloso_DER_Borde_Calloso_IZQ.png,
1,CABEZA,Cabeza,Coronilla,Parietal,Parietal - Parietal,Parietal,Parietal,Virus,Encefalitis,,Mismo punto simple (un marcador),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,✅ TIENE FICHA APROBADA,58,058_Parietal_Parietal.png,058_Parietal_Parietal.png
1,CABEZA,Cabeza,Coronilla,Parietal,Parietal - Bulbo,Parietal,Bulbo,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,152,152_Parietal_Bulbo.png,
1,CABEZA,Cabeza,Coronilla,Parietal,Parietal (RAS) - Riñón CONTLAT,Parietal (RAS),Riñón CONTLAT,,,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,153,153_Parietal_RAS_Rinon_CONTLAT.png,
1,CABEZA,Cabeza,Coronilla,Parietal,Parietal IZQ - Colon Transverso,Parietal IZQ,Colon Transverso,Parásito,Enta moe ba Histo litica,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,154,154_Parietal_IZQ_Colon_Transverso.png,
1,CABEZA,Cabeza,Coronilla,Parietal,Cerebro RAS - Riñón RAS,Cerebro RAS,Riñón RAS,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,155,155_Cerebro_RAS_Rinon_RAS.png,
1,CABEZA,Cabeza,Coronilla,Parietal,Parietal - Riñón Contralateral,Parietal,Riñón Contralateral,Especial/Disfunción,Espe cial Goiz,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,156,156_Parietal_Rinon_Contralateral.png,
1,CABEZA,Cabeza,Coronilla,Parietal,Parietal Derecho Posterior - Parietal Derecho Posterior,Parietal Derecho Posterior,Parietal Derecho Posterior,,,,Bilateral real (derecho/izquierdo),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,157,157_Parietal_Derecho_Posterior_Parietal_Derecho_Posterior.png,
1,CABEZA,Cabeza,Coronilla,Parietal,Parietales - Colon Transverso,Parietales,Colon Transverso,Parásito,Entamoeba Histolytica,,Par normal (dos puntos distintos),SÍ,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,158,158_Parietales_Colon_Transverso.png,
1,CABEZA,Cabeza,Coronilla,Parietal,Tallo Parietal - Cerebelo,Tallo Parietal,Cerebelo,,,,Par normal (dos puntos distintos),no,no,Torso sin camisa OK · No genitales visibles · Ropa interior en zona pélvica si aparece,vista superior del cráneo (top-down) mostrando el techo de la cabeza,Tablas Holoacademia (Lavín) - Sección Cabeza,Manual Biomagnetismo Mod.2 - Cabeza/Cuello,⏳ PENDIENTE - GENERAR,159,159_Tallo_Parietal_Cerebelo.png,
